Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2023,"27,986"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2022,"29,241"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2021,"20,777"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2020,"71,991"
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2019,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2018,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2017,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2016,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2015,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2014,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2013,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2012,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2011,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2010,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2009,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2008,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2007,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2006,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2005,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2004,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2003,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2002,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2001,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,2000,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1999,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1998,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1997,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1996,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1995,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1994,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1993,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1992,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1991,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1990,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1989,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1988,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1987,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1986,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1985,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1984,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1983,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1982,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1981,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1980,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1979,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1978,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1977,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1976,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1975,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1974,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1973,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1972,
Northeast  Region,Boston Harbor Islands NRA,National Recreation Area,1971,
